gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
HMGA1,ENSG00000137309,Breast,Breast glandular cells,,Tumor:proliferating; B/Plasma:proliferating; Mast:proliferating,B/Plasma; Mast; Tumor,proliferating,proliferating; Proliferating,Myoepithelial,"Myoepithelial(2.852), Tumor(2.765), B_cell(1.525)",3,33.0,1.401,0.826,Epithelial,2.765,2.852,1.298,0.561
HOOK2,ENSG00000095066,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(1.223), Tumor(1.084), Adipocyte(0.295)",0,10.1,0.349,0.151,Epithelial,1.084,1.223,0.122,0.174
HOXD8,ENSG00000175879,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(1.344), Pericyte(0.956), Adipocyte(0.512)",0,9.4,0.371,0.13,Stroma,0.358,0.406,0.153,0.759
HOXD9,ENSG00000128709,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(1.01), Pericyte(0.592), Myoepithelial(0.11)",0,4.2,0.173,0.063,Stroma,0.094,0.11,0.061,0.427
HPX,ENSG00000110169,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(0.79), Tumor(0.763), Macrophage_Mono(0.099)",0,6.4,0.225,0.127,Epithelial,0.763,0.79,0.074,0.076
IDO1,ENSG00000131203,IO,,Myeloid Cell;Suppression,,,,,Dendritic,"Dendritic(0.76), T_NK(0.567), Macrophage_Mono(0.439)",0,7.2,0.315,0.181,Immune,0.256,0.199,0.453,0.135
IFIT2,ENSG00000119922,IO,,Tumorigenesis;Metastasis,,,,,Macrophage_Mono,"Macrophage_Mono(0.609), Endothelial(0.45), Tumor(0.432)",0,8.8,0.365,0.212,Cancer,0.432,0.397,0.371,0.312
IFIT3,ENSG00000119917,IO,,Tumorigenesis;Metastasis,Myeloid/DC:ifn_response; Mast:ifn_response,Mast; Myeloid/DC,ifn_response,ifn_response,Macrophage_Mono,"Macrophage_Mono(1.301), Endothelial(1.214), Tumor(0.976)",2,19.2,0.837,0.561,Cancer,0.976,0.934,0.769,0.866
IFNL1,ENSG00000182393,IO,,Immune Signalling,,,,,Myoepithelial,"Myoepithelial(0.03), Tumor(0.028), T_NK(0.026)",0,0.6,0.021,0.006,Epithelial,0.028,0.03,0.022,0.013
IGF1,ENSG00000017427,Breast,Fibroblasts,,,,,,Adipocyte,"Adipocyte(1.744), CAF_Fibroblast(1.291), Macrophage_Mono(0.819)",0,12.8,0.568,0.221,Stroma,0.135,0.167,0.514,1.001
IGHG1,ENSG00000211896,IO,,Plasma Cell,B/Plasma:igG,B/Plasma,igG,,Plasma,"Plasma(5.276), B_cell(3.065), T_NK(1.63)",1,27.3,1.455,2.731,Immune,0.575,0.538,2.137,0.988
IGHM,ENSG00000211899,IO,,B Cell;Naive;Plasma Cell;Plasmablast,B/Plasma:igM,B/Plasma,igM,,B_cell,"B_cell(4.029), Plasma(3.409), T_NK(1.11)",1,21.0,1.088,0.938,Immune,0.287,0.278,1.806,0.498
IGSF6,ENSG00000140749,Breast,Macrophages,,,,,,Macrophage_Mono,"Macrophage_Mono(2.171), Dendritic(1.523), T_NK(0.518)",0,13.0,0.557,0.227,Immune,0.301,0.253,0.849,0.272
IL10,ENSG00000136634,IO,,Immune Cell Regulation,Myeloid/DC:macrophage_M2,Myeloid/DC,macrophage_M2,macrophage_M2,Macrophage_Mono,"Macrophage_Mono(0.559), T_NK(0.162), Adipocyte(0.133)",1,3.6,0.144,0.046,Immune,0.099,0.099,0.191,0.1
IL12B,ENSG00000113302,IO,,Immune Cell Regulation,,,,,T_NK,"T_NK(0.059), Dendritic(0.048), B_cell(0.042)",0,1.0,0.039,0.012,Immune,0.037,0.041,0.048,0.025
IL12RB2,ENSG00000081985,IO,,Immune Cell Regulation,,,,,T_NK,"T_NK(0.394), Macrophage_Mono(0.202), Tumor(0.183)",0,4.5,0.177,0.058,Immune,0.183,0.177,0.239,0.072
IL13,ENSG00000169194,IO,,Immune Cell Regulation;ILC2,T/NK:th2; Mast:effector_activation,Mast; T/NK,effector_activation; th2,,Mast,"Mast(0.248), Myoepithelial(0.065), Tumor(0.048)",2,1.1,0.041,0.013,Epithelial,0.048,0.065,0.044,0.031
IL15,ENSG00000164136,IO,,Immune Cell Regulation,,,,,Endothelial,"Endothelial(0.669), Dendritic(0.468), Macrophage_Mono(0.452)",0,9.2,0.361,0.121,Stroma,0.343,0.363,0.361,0.381
