Barcode,Cluster
aakfohlj-1,5
aakggnjh-1,17
aakgigoh-1,2
aakhenbn-1,2
aakhicfo-1,2
aakholma-1,2
aakikhii-1,5
aakiodpo-1,2
aakjkhjf-1,5
aakjkhnd-1,5
aakjncog-1,17
aakknbhj-1,2
aakknifn-1,2
aakkobpo-1,5
aakkoebm-1,5
aaklamhf-1,5
aaklcgie-1,6
aaklgbod-1,6
aakmblnd-1,6
aakmfnff-1,6
aakmhgnl-1,6
aakmjmeo-1,6
aakmohmp-1,5
aakoaedj-1,5
aakoemgf-1,5
aakogdhg-1,11
aakohdop-1,19
aakojdna-1,17
aakomhnd-1,5
aakopiol-1,17
aakpahop-1,5
aakphded-1,5
aakpnbpd-1,5
aalafdoo-1,5
aalalfem-1,5
aalbcimn-1,5
aalbclai-1,5
aalbinle-1,13
aalblhek-1,5
aalcaeno-1,6
aalcmdim-1,1
aaldfldb-1,19
aaldiodg-1,3
aaldkidd-1,3
aaldnhlc-1,1
aalecmpp-1,23
aaleiaem-1,7
aaleipnl-1,7
aaleknff-1,8
aalemnpf-1,1
aalfbmga-1,3
aalfbnnh-1,1
aalfecmo-1,10
aalfhiim-1,1
aalfmnel-1,10
aalghcid-1,10
aalgifbh-1,7
aalgjbki-1,3
aalgjmal-1,3
aalhdhak-1,1
aalhldke-1,3
aaliefng-1,3
aaligkhb-1,1
aaligmdh-1,20
aalihlho-1,1
aalikdhp-1,10
aalikiag-1,2
aaljahgm-1,3
aaljcojp-1,1
aaljkgcn-1,3
aaljmoge-1,2
aalkefkc-1,2
aalkfghf-1,1
aalkoill-1,1
aalkpdmg-1,3
aallakdd-1,3
aallboll-1,19
aalljlco-1,2
aalmadfb-1,14
aalmcmhb-1,14
aalmgkfm-1,2
aalmigfn-1,1
aalmkmnc-1,14
aalnlmfb-1,2
aalnooce-1,1
aalocdai-1,3
aalocdpa-1,3
aalofcco-1,14
aalonhbc-1,14
aalpabco-1,2
aalpnalh-1,2
aalppokf-1,1
aamaaffg-1,1
aamaknil-1,2
aamaldgd-1,22
aamapbgn-1,19
aambeajh-1,14
aamblmla-1,1
aambooli-1,14
aamckhme-1,3
aamdggcn-1,1
aamdiaoi-1,3
aamecbjm-1,3
aameenem-1,14
aamekech-1,14
aamgabgc-1,15
aamgpdbb-1,1
aamgpldl-1,1
aamhbgej-1,1
aamhcech-1,3
aamhikcb-1,3
aamhnjdb-1,3
aamiggkf-1,3
aaminekh-1,3
aamiooai-1,3
aamjbldo-1,1
aamjkknp-1,14
aamjldel-1,3
aamjmmnk-1,10
aamkhifh-1,20
aamlbegf-1,3
aamldfgc-1,1
aamlmmdf-1,3
aammdlkb-1,2
aammjbgd-1,14
aammpmod-1,10
aamnabnf-1,3
aamnfena-1,1
aamnjond-1,1
aamnmhcn-1,3
aamnnlcg-1,3
aamoadda-1,10
aamobnib-1,9
aamoellp-1,19
aamoibgl-1,1
aamolnnb-1,3
aamommmj-1,19
aampjjjh-1,3
aampkojj-1,3
aanacgeh-1,9
aanacopo-1,14
aanadhoi-1,10
aanahfki-1,2
aanaihfi-1,3
aanallip-1,12
aanaolcc-1,25
aanbplla-1,12
aancffmf-1,14
aancpnao-1,1
aandnghg-1,14
aanelehl-1,7
aanelenm-1,7
aanfapeb-1,3
aanfidie-1,3
aanfpdnp-1,12
aanggfnd-1,25
aangidkn-1,25
aangikoa-1,9
aangmmpg-1,25
aangoemb-1,25
aanhnnfi-1,25
aanifhbd-1,12
aaniimgd-1,25
aaniiobg-1,10
aanjikcg-1,25
aankflmn-1,4
aankifcj-1,4
aankjiee-1,9
aankjiha-1,3
aankkenb-1,9
aanlalcc-1,3
aanlcend-1,1
aanlffkn-1,12
aanlgafd-1,3
aanlgeob-1,3
aanljlch-1,3
aanlkbad-1,14
aanlmcaa-1,3
aanlpblf-1,2
aanmddfh-1,2
aanmfjdn-1,2
aanmnajc-1,3
aanmnnka-1,3
aanndfgf-1,2
aanndoon-1,1
aanngbgf-1,3
aannjeho-1,3
aanobhmg-1,3
aanoebec-1,12
aanoigep-1,14
aanojonh-1,12
aanokcke-1,3
aanokjbb-1,10
aanoljom-1,10
aanpgnjo-1,15
aanpjead-1,10
aanpnnbd-1,2
aanppflf-1,2
aanpppgc-1,9
aaoadpgl-1,8
aaoaeflf-1,15
aaoajpgl-1,3
aaoalklc-1,4
aaoblcif-1,4
aaocfehh-1,5
aaochbhj-1,5
aaocmbkm-1,5
aaocmikp-1,5
aaocpphb-1,5
aaodadgg-1,5
aaodbfle-1,5
aaodgdmg-1,5
aaodmcho-1,5
aaoegfbn-1,5
aaoehdnc-1,5
aaofdcij-1,5
aaofjeka-1,5
aaofpmob-1,5
aaognkcb-1,5
aaohcfia-1,5
aaohcgcj-1,5
aaohpdkj-1,5
aaoiddpo-1,5
aaoiebjj-1,5
aaoihfpp-1,5
aaoincon-1,5
aaoinofg-1,13
aaoipjjk-1,5
aaojhghj-1,17
aaojjbna-1,14
aaojneeh-1,6
aaojolhc-1,6
aaokapka-1,5
aaokcdml-1,5
aaokkbld-1,6
aaokldio-1,5
aaolbcbf-1,6
aaoldbnn-1,6
aaolfkcf-1,5
aaomnjfh-1,5
aaomocbb-1,5
aaoncejf-1,6
aaoncekb-1,5
aaoncfbm-1,5
aaondgoo-1,10
aaonegho-1,10
aaongfko-1,14
aaongkil-1,1
aaonhiec-1,3
aaoodbkn-1,10
aaooefcf-1,12
aaoolola-1,7
aaopeeji-1,13
aaopfpkm-1,10
aaopgpaf-1,13
aaopmddb-1,8
aaopnldd-1,11
aapajdfj-1,7
aapanajf-1,13
aapbbjmj-1,2
aapbbmin-1,13
aapcbckl-1,7
aapcgdnp-1,14
aapciilh-1,9
aapdadmd-1,14
aapddomk-1,13
aapdfmmo-1,15
aapdnjbg-1,3
aapeapbm-1,1
aapejelj-1,10
aapgdcpm-1,3
aapghpgm-1,10
aaphcjen-1,10
aaphjphb-1,1
aapilkpj-1,4
aapjacoc-1,10
aapjdhng-1,10
aapkbgcd-1,1
aapkkple-1,10
aaplajck-1,10
aaplflgp-1,10
aaplkepl-1,1
aaplmfdd-1,3
aapmeoel-1,1
aapmgjgj-1,1
aapmhkjl-1,1
aapmneod-1,1
aapmnlck-1,10
aapmpodk-1,8
aapnciko-1,10
aapndimj-1,1
aapneckm-1,1
aapngoac-1,2
aapnjebe-1,8
aapnlefd-1,8
aapokddb-1,10
aapomokj-1,15
aaponmjl-1,15
aappkfan-1,12
aapplcdj-1,12
aappneeh-1,10
abaahkjf-1,10
ababcbcc-1,7
ababiomb-1,1
ababkkhc-1,10
ababocgc-1,2
ababojjh-1,1
abacegap-1,10
abacfilo-1,10
abacmpjp-1,7
abacohca-1,2
abadfkdb-1,2
abadiclc-1,7
abadmapj-1,3
